Brand,Brand Collection,Name,Product,Item Type,Application,Description,Dealer Price,MSRP,Unit,Driver Components,Crossover,Frequency Response,Recommended Amp Power,Input Connectors,Mounting Options,Warranty,Woofer,Midrange,Tweeter,Coverage / Dispersion,Mounting Depth,Cutout Diameter,Speaker / Grille Diameter,Channels,Output Power @ 2 Ohm,Output Power @ 4 Ohm,Output Power @ 8 Ohm,Output Power @ 70V,Output Power @ 100V,Powersharing (up to),Power Consumption,Output Voltage,Total System Power,Inputs,Outputs,Power Handling,Dimensions,Weight,Impedance,Sensitivity,Max SPL,Transformer Taps,System Type,Enclosure,Colors
Origin Pro,Pro,PP80,Pendant,Speaker,Indoor,"Professional Pendant 8"" Pendant Loudspeaker",538,1075,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm,,,,,,
Origin Pro,Pro,PPSUB8,Pendant,Subwoofer,Indoor,"Professional Pendant Sub 80, 8"" Pendant Sub, Black",323,570,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm Nominal,,,,,,
Origin Pro,Pro,ProA1000.1,Electronics,Amplifier,Indoor,Pro Amplifier ProA1000.1,1258,2097,each (ea),,,,,,,,,,,,,,,2 x Lo-Z/1 x Hi-Z,2 x 500 W (SE),2 x 500 W (SE) / 1 x 1000 W (BTL),2 x 250 W (SE) / 1 x 1000 W (BTL),1 x 1000 W (BTL),1 x 1000 W (BTL),,350 W,65 Vp/130 Vpp (SE) / 130 Vp/260 Vpp (BTL),,4 x RCA,2 x Lo-Z / 1 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),5.9 kg,,,,,,,
Origin Pro,Pro,ProA1000.2,Electronics,Amplifier,Indoor,Pro Amplifier ProA1000.2,1774,2957,each (ea),,,,,,,,,,,,,,,4 x lo-Z / 2 x Hi-Z,4 x 500 W (SE),4 x 500 W (SE) / 2 x 1000 W (BTL),4 x 250 W (SE) / 2 x 1000 W (BTL),2 x 1000 W (BTL),2 x 1000 W (BTL),,700 W,65 Vp/130 Vpp (SE) / 130 Vp/260 Vpp (BTL),,4 x RCA,4 x Lo-Z / 2 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),7.4 kg,,,,,,,
Origin Pro,Pro,ProA1000.4,Electronics,Amplifier,Indoor,Pro Amplifier ProA1000.4,3000,4999,each (ea),,,,,,,,,,,,,,,8 x lo-Z / 2 x Hi-Z,8 x 500 W (SE),8 x 500 W (SE) / 4 x 1000 W (BTL),8 x 250 W (SE) / 4 x 1000 W (BTL),4 x 1000 W (BTL),4 x 1000 W (BTL),,1400 W,65 Vp/130 Vpp (SE) / 130 Vp/260 Vpp (BTL),,4 x RCA,8 x Lo-Z / 2 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),,,,,,,,
Origin Pro,Pro,ProA1200.1,Electronics,Amplifier,Indoor,Pro Amplifier ProA1200.1,1387,2312,each (ea),,,,,,,,,,,,,,,2 x Lo-Z/1 x Hi-Z,2 x 750 W (SE),2 x 750 W (SE) / 1 x 1500 W (BTL),2 x 400 W (SE) / 1 x 1500 W (BTL),1 x 1200 W (BTL),1200 W (BTL),,350 W,80 Vp/160 Vpp (SE) / 160 Vp/320 Vpp (BTL),,4 x RCA,2 x Lo-Z / 1 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),5.9 kg,,,,,,,
Origin Pro,Pro,ProA1200.2,Electronics,Amplifier,Indoor,Pro Amplifier ProA1200.2,1968,3279,each (ea),,,,,,,,,,,,,,,4 x lo-Z / 2 x Hi-Z,4 x 750 W (SE),4 x 750 W (SE) / 2 x 1500 W (BTL),4 x 400 W (SE) / 2 x 1500 W (BTL),2 x 1200 W (BTL),1200 W (BTL),,700 W,80 Vp/160 Vpp (SE) / 160 Vp/320 Vpp (BTL),,4 x RCA,4 x Lo-Z / 2 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),7.4 kg,,,,,,,
Origin Pro,Pro,ProA1200.4,Electronics,Amplifier,Indoor,Pro Amplifier ProA1200.4,3354,5590,each (ea),,,,,,,,,,,,,,,8 x lo-Z / 2 x Hi-Z,8 x 750 W (SE),8 x 750 W (SE) / 4 x 1500 W (BTL),8 x 400 W (SE) / 4 x 1500 W (BTL),4 x 1200 W (BTL),1200 W (BTL),,1400 W,80 Vp/160 Vpp (SE) / 160 Vp/320 Vpp (BTL),,4 x RCA,8 x Lo-Z / 2 x HI-Z,,88 x 440 x 332 mm (3.5 x 17.3 x 13.1 in),,,,,,,,
Origin Pro,Pro,ProA125.1,Electronics,Amplifier,Indoor,Pro Amplifier ProA125.1,549,914,each (ea),,,,,,,,,,,,,,,2 x lo-Z / 1 x Hi-Z,,2 x 60 W,2 x 60 W,1 x 125 W,1 x 125 W,1 x 125 W,75 W,,125 W,4 x RCA,2 x Lo-Z / 1 x HI-Z,,44 x 220 x 213 mm (1.7 x 8.7 x 8.4 in),2 kg (4.4 lbs),,,,,,,
Origin Pro,Pro,ProA125.2,Electronics,Amplifier,Indoor,Pro Amplifier ProA125.2,774,1290,each (ea),,,,,,,,,,,,,,,4 x lo-Z / 2 x Hi-Z,,4 x 60 W,4 x 60 W,2 x 125 W,2 x 125 W,,75 W,250 W,250 W,4 x RCA,4 x Lo-Z / 2 x HI-Z,,44 x 220 x 319 mm (1.7 x 8.7 x 12.6 in),2.8 kg (6.2 lbs),,,,,,,
Origin Pro,Pro,ProA125.4,Electronics,Amplifier,Indoor,Pro Amplifier ProA125.4,1323,2204,each (ea),,,,,,,,,,,,,,,8 x lo-Z / 2 x Hi-Z,,8 x 60 W,8 x 60 W,4 x 125 W,4 x 125 W,2 x 250 W,150 W,,500 W,4 x RCA,8 x Lo-Z / 2 x HI-Z,,44 x 220 x 319 mm (1.7 x 8.7 x 12.6 in),3.5 kg (7.7 lbs),,,,,,,
Origin Pro,Pro,ProA250.1,Electronics,Amplifier,Indoor,Pro Amplifier ProA250.1,742,1237,each (ea),,,,,,,,,,,,,,,2 x lo-Z / 1 x Hi-Z,,2 x 125 W,2 x 125 W,1 x 250 W,1 x 250 W,1 x 250 W,75 W,,250 W,4 x RCA,2 x Lo-Z / 1 x HI-Z,,44 x 220 x 213 mm (1.7 x 8.7 x 8.4 in),2 kg (4.4 lbs),,,,,,,
Origin Pro,Pro,ProA250.2,Electronics,Amplifier,Indoor,Pro Amplifier ProA250.2,1065,1774,each (ea),,,,,,,,,,,,,,,4 x lo-Z / 2 x Hi-Z,,4 x 125 W,4 x 125 W,2 x 250 W,2 x 250 W,2 x 250 W,150 W,,500 W,4 x RCA,4 x Lo-Z / 2 x HI-Z,,44 x 220 x 319 mm (1.7 x 8.7 x 12.6 in),2.8 kg (6.2 lbs),,,,,,,
Origin Pro,Pro,ProA250.4,Electronics,Amplifier,Indoor,Pro Amplifier ProA250.4,1839,3064,each (ea),,,,,,,,,,,,,,,8 x lo-Z / 2 x Hi-Z,,8 x 125 W,8 x 125 W,4 x 250 W,4 x 250 W,4 x 250 W,300 W,,1000 W,4 x RCA,8 x Lo-Z / 2 x HI-Z,,44 x 220 x 319 mm (1.7 x 8.7 x 12.6 in),3.8 kg (8.4 lbs),,,,,,,
Origin Pro,Pro,PS50,Surface Mount,Speaker,Indoor,"PS50 - 5.25"" Surface Mount, pair",291,581,Pair (pr),,,55Hz–20kHz (–10dB); 74Hz–20kHz (–3dB),,,,,"5.25"" IMPP",,"1"" Aluminum","100° H, 50° V",,,,,,,,,,,,,,,,RMS: 30W Cont. | Prog: 60W,"6.75""W × 11""H × 7""D (171×279×178mm); 10""H (254mm) w/o bracket",,8 ohm / 70V,89.0,Peak: 105.0dB,"70V: 30W, 15W, 7.5W, 3.75W; 100V: 30W, 15W, 7.5W",Surface Mount Speaker,,"Black, White"
Origin Pro,Pro,PS60,Surface Mount,Speaker,Indoor,"Professional Surface 60, 6"" Surface Mount, pair, Black",355,710,Pair (pr),,,45Hz–20kHz (–10dB); 65Hz–20kHz (–3dB),,,,,"6.5"" IMPP",,"1"" Aluminum","100° H, 50° V",,,,,,,,,,,,,,,,RMS: 40W Cont. | Prog: 80W,"7.875""W × 13.25""H × 8.1875""D (200×336×208mm); 12.25""H (311mm) w/o bracket",,8 ohm / 70V,92.0,Peak: 106.0dB,"70V: 60W, 30W, 15W, 7.5W; 100V: 60W, 30W, 15W",Surface Mount Speaker,,"Black, White"
Origin Pro,Pro,PS80,Surface Mount,Speaker,Indoor,"Professional Surface 80, 8"" Surface Mount, pairs",527,1054,Pair (pr),,,42Hz–20kHz (–10dB); 58Hz–20kHz (–3dB),,,,,"8"" IMPP",,"1"" Aluminum","70° H, 70° V",,,,,,,,,,,,,,,,RMS: 60W Cont. | Prog: 120W,"9.5""W × 15""H × 9.625""D (241×381×245mm); 14""H (355mm) w/o bracket",,8 ohm / 70V,92.0,Peak: 107.0dB,"70V: 80W, 40W, 20W, 10W; 100V: 80W, 40W, 20W",Surface Mount Speaker,,"Black, White"
Origin Acoustics,Pro,PSUB10X2,Surface Mount,Subwoofer,Indoor,,,,each (ea),,,,300W-2000W @ 4?,,,,,,,,,,,,,,,,,,,,,,,Handling: 300W Pink Noise / 600W Program / 1200W Peak,,,4 Ohm,"94dB (2.83V/1m, Free Space)",,"70V: 300W, 150W, 75W","Dual 10"" Bandpass Surface Mount Subwoofer",,
Origin Acoustics,Foundation,SubA150,Electronics,Amplifier,Indoor,Foundation Series - Subwoofer Amplifier with 150w of Class D Power in a 1U Design.,420,903,each (ea),,,,,,,,,,,,,,,1,300 W,150 W,80 W,,,,,,,"1 x RCA	1 x Lo-Z",,,"16.9"" W x 1.75"" H x 8.1"" D",,,,,,,,
Origin Acoustics,Foundation,SubA500,Electronics,Amplifier,Indoor,Foundation Series - Subwoofer Amplifier with 500w of Class D Power in a 1U Design.,807,1742,each (ea),,,,,,,,,,,,,,,1,1000 W,500 W,250 W,,,,,,,"1 x RCA	1 x Lo-Z",,,"16.9"" W x 1.75"" H x 8.9"" D",,,,,,,,
Origin Acoustics,Deep,SUBD10,Electronics,Subwoofer,Indoor,"Deep Series - Subwoofer with 10"" Composite Driver, 10"" Passive Radiator. Mid-century Modern Design.",635,1278,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,Deep,SUBD8,Electronics,Subwoofer,Indoor,"Deep Series - Subwoofer with 8"" Composite Driver, 8"" Passive Radiator. Mid-century Modern Design. ",463,925,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,Slim,SUBS10,Electronics,Subwoofer,Indoor,SUBS10 Slim Powered Subwoofer,807,1774,each (ea),"2x 10"" Low Profile Dual Voice Coil, Rigid Flat Honeycomb Glass Fiber Cone Woofers","Recommended LPF = 120Hz, 24dB, Butterworth",30Hz–120Hz (-10dB) | 38Hz–120Hz (+/-3dB),300W – 2000W @ 4 Ohms,Gold Plated Binding Post Terminals,"Two Position Mounting Bracket, 4x M10 Suspension Points",,,,,,,,,,,,,,,,,,,,,"Handling: 300W Pink Noise, 600W / 1200W Peak","12"" x 13.78"" x 33.86"" (228 x 350 x 860mm)",62lbs / 28.2kg (with mounting bracket),4 Ohm,"94dB (2.83V/1m, Free Space); 118dB Pink Noise",118.8 dB (Calculated),"70V: 300W, 150W, 75W | 100V: 300W, 150W","Dual 10"" Bandpass Surface Mount Subwoofer",MDF,360° System Coverage
Origin Acoustics,ThinFit,TF37DTEX,In-Ceiling,Speaker,Marine,"ThinFit dual tweeter, high temperature plastic, metal grill with weather coating",199,570,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,ThinFit,TF37EX,In-Ceiling,Speaker,Marine,"Thinfit Explorer Series - Round Loudspeaker with and DPSD Dome Tweeter, Dual 3.5"" Glass Fiber Woofers, Dual 3.5"" Glass Fiber Mid-Woofers.  High-temperature plastic. Treated metal grille.",172,495,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,ThinFit,TFIW37EX,In-Wall,Speaker,Marine,"Thinfit Collection - Thinfit In-Wall Loudspeaker. Silk DPSD Tweeter & Quad 3.5"" Glass Fiber woofers.  High temperature plastic and metal grill with Dacrometing coating.",199,570,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Theater,THTR67,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall THTR Loudspeaker with Exclusive Silk DPSD Tweeter, Quad 6.5"" Glass Fiber Woofers, and the patented SpringLock Tool-less Mounting System.",678,1978,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,Theater,THTR69,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall THTR Loudspeaker with Exclusive Silk DPSD Tweeter, Quad 6.5"" Kevlar Woofers, and the patented SpringLock Tool-less Mounting System.",807,2322,each (ea),,,40Hz–20kHz,,,,,"6.5"" (165mm) Kevlar®",,"1"" Silk DPSD",,"3.78"" (96mm)","Cutout: 7.875"" × 29"" (198×736mm)","Grille: 9.11"" × 30.29"" (231×769mm)",,,,,,,,,,,,,RMS: 10–200W,"8.67"" × 29.85"" (220×758mm)",,6 ohm min,,,,In-Wall Speaker,,
